path,classification,evidence,proposed_batch
grails-app/views/common/_fullstory.gsp,TEMPLATE,included by layouts/custom.gsp (g:render template='/common/fullstory'),
grails-app/views/common/_header.gsp,DEAD,no static references found,
grails-app/views/common/_hotjar.gsp,TEMPLATE,included by layouts/custom.gsp (g:render template='/common/hotjar'); included by layouts/main.gsp (g:render template='/common/hotjar'); included by layouts/react.gsp (g:render template='/common/hotjar'),
grails-app/views/common/_localization.gsp,TEMPLATE,included by layouts/custom.gsp (g:render template='/common/localization'),
grails-app/views/common/_menu.gsp,DEAD,no static references found,
grails-app/views/common/_menuicons.gsp,TEMPLATE,included by dashboard/megamenu.gsp (g:render template='/common/menuicons'),
grails-app/views/common/_navbar.gsp,TEMPLATE,included by layouts/analytics.gsp (g:render template='/common/navbar'),
grails-app/views/common/_personAutocomplete.gsp,DEAD,no static references found,
grails-app/views/common/react.gsp,LIVE,render(view:'/common/react') in grails-app/controllers/org/pih/warehouse/putaway/PutAwayController.groovy; render(view:'/common/react') in grails-app/controllers/org/pih/warehouse/user/DashboardController.groovy; render(view:'/common/react') in grails-app/controllers/org/pih/warehouse/reporting/ReportController.groovy,dashboard-auth
grails-app/views/consumption/_filters.gsp,TEMPLATE,included by consumption/show.gsp (g:render template='filters'),
grails-app/views/consumption/_product.gsp,TEMPLATE,render(template:'product') in grails-app/controllers/org/pih/warehouse/reporting/ConsumptionController.groovy,
grails-app/views/consumption/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/reporting/ConsumptionController.groovy::list (implicit); megamenu href /consumption/list (runtime.groovy),reporting-1
grails-app/views/consumption/pivot.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/reporting/ConsumptionController.groovy::pivot (implicit),reporting-1
grails-app/views/consumption/show.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/reporting/ConsumptionController.groovy::show (implicit); render(view:'show') in grails-app/controllers/org/pih/warehouse/reporting/ConsumptionController.groovy; megamenu href /consumption/show (runtime.groovy),reporting-1
grails-app/views/container/_summary.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='/container/summary'),
grails-app/views/country/list.gsp,DEAD,no static references found,
grails-app/views/createShipmentWorkflow/_addIncomingItem.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='addIncomingItem'),
grails-app/views/createShipmentWorkflow/_addItem.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='addItem'),
grails-app/views/createShipmentWorkflow/_addLocation.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterShipmentDetails.gsp (g:render template='addLocation'),
grails-app/views/createShipmentWorkflow/_addPerson.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterTrackingDetails.gsp (g:render template='addPerson'),
grails-app/views/createShipmentWorkflow/_addShipper.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterTrackingDetails.gsp (g:render template='addShipper'),
grails-app/views/createShipmentWorkflow/_containerButtons.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='containerButtons'),
grails-app/views/createShipmentWorkflow/_containerFields.gsp,TEMPLATE,included by createShipmentWorkflow/_editBox.gsp (g:render template='containerFields'); included by createShipmentWorkflow/_editContainer.gsp (g:render template='containerFields'),
grails-app/views/createShipmentWorkflow/_containerMenuItems.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='containerMenuItems'),
grails-app/views/createShipmentWorkflow/_editBox.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='editBox'),
grails-app/views/createShipmentWorkflow/_editContainer.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='editContainer'),
grails-app/views/createShipmentWorkflow/_editItem.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='editItem'),
grails-app/views/createShipmentWorkflow/_flowHeader.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/pickShipmentItems.gsp (g:render template='flowHeader'); included by createShipmentWorkflow/createShipment/enterShipmentDetails.gsp (g:render template='flowHeader'); included by createShipmentWorkflow/createShipment/sendShipment.gsp (g:render template='flowHeader'),
grails-app/views/createShipmentWorkflow/_itemFields.gsp,TEMPLATE,included by createShipmentWorkflow/_editItem.gsp (g:render template='itemFields'),
grails-app/views/createShipmentWorkflow/_itemFoundFields.gsp,TEMPLATE,included by createShipmentWorkflow/_addItem.gsp (g:render template='itemFoundFields'),
grails-app/views/createShipmentWorkflow/_itemMenuItems.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='itemMenuItems'),
grails-app/views/createShipmentWorkflow/_itemTableRow.gsp,DEAD,no static references found,
grails-app/views/createShipmentWorkflow/_moveContainer.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='moveContainer'),
grails-app/views/createShipmentWorkflow/_moveDraggableItem.gsp,DEAD,no static references found,
grails-app/views/createShipmentWorkflow/_moveItem.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='moveItem'),
grails-app/views/createShipmentWorkflow/_shipmentButtons.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='shipmentButtons'),
grails-app/views/createShipmentWorkflow/_shipmentMenuItems.gsp,TEMPLATE,included by createShipmentWorkflow/createShipment/enterContainerDetails.gsp (g:render template='shipmentMenuItems'),
grails-app/views/createShipmentWorkflow/createShipment/enterContainerDetails.gsp,LIVE,webflow state 'enterContainerDetails' in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy::createShipmentFlow,shipment-workflow
grails-app/views/createShipmentWorkflow/createShipment/enterShipmentDetails.gsp,LIVE,webflow state 'enterShipmentDetails' in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy::createShipmentFlow,shipment-workflow
grails-app/views/createShipmentWorkflow/createShipment/enterTrackingDetails.gsp,LIVE,webflow state 'enterTrackingDetails' in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy::createShipmentFlow,shipment-workflow
grails-app/views/createShipmentWorkflow/createShipment/pickShipmentItems.gsp,LIVE,webflow state 'pickShipmentItems' in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy::createShipmentFlow,shipment-workflow
grails-app/views/createShipmentWorkflow/createShipment/sendShipment.gsp,LIVE,webflow state 'sendShipment' in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy::createShipmentFlow,shipment-workflow
grails-app/views/cycleCount/_printCount.gsp,TEMPLATE,view path string '/cycleCount/printCount' in grails-app/controllers/org/pih/warehouse/api/CycleCountApiController.groovy,
grails-app/views/cycleCount/_printRecount.gsp,TEMPLATE,view path string '/cycleCount/printRecount' in grails-app/controllers/org/pih/warehouse/api/CycleCountApiController.groovy,
grails-app/views/dashboard/_activitySummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_alertSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_binLocationSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_catalogsSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_expiringSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_genericProductSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_indicatorSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_loginLocations.gsp,TEMPLATE,render(template:'loginLocations') in grails-app/controllers/org/pih/warehouse/user/DashboardController.groovy; included by dashboard/chooseLocation.gsp (g:render template='loginLocations'),
grails-app/views/dashboard/_newsSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_orderSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_productSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_receiptSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_requisitionItemSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_requisitionSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_shipmentSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_tagSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/_valueSummary.gsp,DEAD,no static references found,
grails-app/views/dashboard/chooseLocation.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/user/DashboardController.groovy::chooseLocation (implicit),dashboard-auth
grails-app/views/dashboard/megamenu.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/user/DashboardController.groovy::megamenu (implicit); g:include from layouts/custom.gsp,dashboard-auth
grails-app/views/dashboard/old.gsp,DEAD,no static references found,
grails-app/views/dataExport/index.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/data/DataExportController.groovy::index (implicit); megamenu href /dataExport/index (runtime.groovy),admin-config-2
grails-app/views/deliveryNote/_addressSection.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='addressSection'); included by deliveryNote/print.gsp (g:render template='addressSection'),
grails-app/views/deliveryNote/_notesSection.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='notesSection'); included by deliveryNote/print.gsp (g:render template='notesSection'),
grails-app/views/deliveryNote/_printHeader.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='printHeader'); included by deliveryNote/print.gsp (g:render template='printHeader'),
grails-app/views/deliveryNote/_printOutboundReturnTable.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='printOutboundReturnTable'),
grails-app/views/deliveryNote/_printPage.gsp,TEMPLATE,included by deliveryNote/print.gsp (g:render template='printPage'),
grails-app/views/deliveryNote/_printToolbar.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='printToolbar'); included by deliveryNote/print.gsp (g:render template='printToolbar'),
grails-app/views/deliveryNote/_signaturesSection.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='signaturesSection'); included by deliveryNote/print.gsp (g:render template='signaturesSection'),
grails-app/views/deliveryNote/_styles.gsp,TEMPLATE,included by deliveryNote/printOutboundReturn.gsp (g:render template='styles'); included by deliveryNote/print.gsp (g:render template='styles'),
grails-app/views/deliveryNote/print.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/requisition/DeliveryNoteController.groovy::print (implicit),print-documents-1
grails-app/views/deliveryNote/printOutboundReturn.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/requisition/DeliveryNoteController.groovy::printOutboundReturn (implicit),print-documents-1
grails-app/views/doc4j/download.gsp,DEAD,no static references found,
grails-app/views/document/_preview.gsp,TEMPLATE,render(template:'preview') in grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy,
grails-app/views/document/create.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy::create (implicit); render(view:'create') in grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy,print-documents-1
grails-app/views/document/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy,print-documents-1
grails-app/views/document/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy::list (implicit); megamenu href /document/list (runtime.groovy),print-documents-2
grails-app/views/document/show.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy::show (implicit),print-documents-2
grails-app/views/document/upload.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/DocumentController.groovy::upload (implicit),print-documents-2
grails-app/views/email/_applicationError.gsp,TEMPLATE,view path string '/email/applicationError' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_approvalsAlert.gsp,TEMPLATE,view path string '/email/approvalsAlert' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_approvalsStatusChanged.gsp,TEMPLATE,view path string '/email/approvalsStatusChanged' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_emailTemplate.gsp,DEAD,no static references found,
grails-app/views/email/_errorReport.gsp,TEMPLATE,render(template:'/email/errorReport') in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy; view path string '/email/errorReport' in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy,
grails-app/views/email/_expiryAlerts.gsp,TEMPLATE,view path string '/email/expiryAlerts' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_footer.gsp,DEAD,no static references found,
grails-app/views/email/_fulfillmentAlert.gsp,TEMPLATE,view path string '/email/fulfillmentAlert' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_goodsDeliveryNote.gsp,TEMPLATE,view path string '/email/goodsDeliveryNote' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_header.gsp,TEMPLATE,included by email/_fulfillmentAlert.gsp (g:render template='/email/header'); included by email/_approvalsStatusChanged.gsp (g:render template='/email/header'); included by email/_approvalsAlert.gsp (g:render template='/email/header'),
grails-app/views/email/_inventoryItemTable.gsp,TEMPLATE,included by email/_expiryAlerts.gsp (g:render template='/email/inventoryItemTable'),
grails-app/views/email/_productCreated.gsp,TEMPLATE,render(template:'/email/productCreated') in grails-app/controllers/org/pih/warehouse/product/ProductController.groovy; view path string '/email/productCreated' in grails-app/controllers/org/pih/warehouse/product/ProductController.groovy,
grails-app/views/email/_productTable.gsp,TEMPLATE,included by email/_stockAlerts.gsp (g:render template='/email/productTable'),
grails-app/views/email/_shipmentItemReceived.gsp,TEMPLATE,render(template:'/email/shipmentItemReceived') in grails-app/services/org/pih/warehouse/report/NotificationService.groovy; view path string '/email/shipmentItemReceived' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_shipmentItemShipped.gsp,TEMPLATE,render(template:'/email/shipmentItemShipped') in grails-app/services/org/pih/warehouse/report/NotificationService.groovy; view path string '/email/shipmentItemShipped' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_shipmentReceived.gsp,TEMPLATE,render(template:'/email/shipmentReceived') in grails-app/controllers/org/pih/warehouse/shipping/ShipmentController.groovy; view path string '/email/shipmentReceived' in grails-app/controllers/org/pih/warehouse/shipping/ShipmentController.groovy; view path string '/email/shipmentReceived' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_shipmentShipped.gsp,TEMPLATE,render(template:'/email/shipmentShipped') in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy; render(template:'/email/shipmentShipped') in grails-app/controllers/org/pih/warehouse/shipping/ShipmentController.groovy; view path string '/email/shipmentShipped' in grails-app/controllers/org/pih/warehouse/shipping/CreateShipmentWorkflowController.groovy,
grails-app/views/email/_stockAlerts.gsp,TEMPLATE,view path string '/email/stockAlerts' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_userAccountActivated.gsp,TEMPLATE,render(template:'/email/userAccountActivated') in grails-app/controllers/org/pih/warehouse/user/UserController.groovy; view path string '/email/userAccountActivated' in grails-app/controllers/org/pih/warehouse/user/UserController.groovy,
grails-app/views/email/_userAccountChanged.gsp,DEAD,no static references found,
grails-app/views/email/_userAccountConfirmed.gsp,TEMPLATE,render(template:'/email/userAccountConfirmed') in grails-app/controllers/org/pih/warehouse/user/AuthController.groovy; view path string '/email/userAccountConfirmed' in grails-app/controllers/org/pih/warehouse/user/AuthController.groovy; view path string '/email/userAccountConfirmed' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_userAccountCreated.gsp,TEMPLATE,render(template:'/email/userAccountCreated') in grails-app/controllers/org/pih/warehouse/user/AuthController.groovy; view path string '/email/userAccountCreated' in grails-app/controllers/org/pih/warehouse/user/AuthController.groovy; view path string '/email/userAccountCreated' in grails-app/services/org/pih/warehouse/report/NotificationService.groovy,
grails-app/views/email/_userAccountPending.gsp,DEAD,no static references found,
grails-app/views/email/_userCanReceiveEmail.gsp,TEMPLATE,render(template:'/email/userCanReceiveEmail') in grails-app/controllers/org/pih/warehouse/user/UserController.groovy; view path string '/email/userCanReceiveEmail' in grails-app/controllers/org/pih/warehouse/user/UserController.groovy,
grails-app/views/email/_userPhotoChanged.gsp,TEMPLATE,render(template:'/email/userPhotoChanged') in grails-app/controllers/org/pih/warehouse/user/UserController.groovy; view path string '/email/userPhotoChanged' in grails-app/controllers/org/pih/warehouse/user/UserController.groovy,
grails-app/views/error.gsp,LIVE,render(view:'/error') in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy,errors-misc
grails-app/views/errors/accessDenied.gsp,LIVE,render(view:'/errors/accessDenied') in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy; view path string '/errors/accessDenied' in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy,errors-misc
grails-app/views/errors/dataAccess.gsp,LIVE,render(view:'/errors/dataAccess') in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy; view path string '/errors/dataAccess' in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy,errors-misc
grails-app/views/errors/methodNotAllowed.gsp,LIVE,render(view:'/errors/methodNotAllowed') in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy; view path string '/errors/methodNotAllowed' in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy,errors-misc
grails-app/views/errors/notFound.gsp,LIVE,render(view:'/errors/notFound') in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy; view path string '/errors/notFound' in grails-app/controllers/org/pih/warehouse/core/ErrorsController.groovy,errors-misc
grails-app/views/eventType/create.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/EventTypeController.groovy::create (implicit); render(view:'create') in grails-app/controllers/org/pih/warehouse/core/EventTypeController.groovy,finance-config-1
grails-app/views/eventType/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/EventTypeController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/core/EventTypeController.groovy,finance-config-1
grails-app/views/eventType/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/EventTypeController.groovy::list (implicit); megamenu href /eventType/list (runtime.groovy),finance-config-2
grails-app/views/eventType/show.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/EventTypeController.groovy::show (implicit),finance-config-2
grails-app/views/exception.gsp,DEAD,no static references found,
grails-app/views/glAccount/create.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/GlAccountController.groovy::create (implicit); render(view:'create') in grails-app/controllers/org/pih/warehouse/core/GlAccountController.groovy,finance-config-2
grails-app/views/glAccount/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/GlAccountController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/core/GlAccountController.groovy,finance-config-2
grails-app/views/glAccount/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/GlAccountController.groovy::list (implicit); megamenu href /glAccount/list (runtime.groovy),finance-config-2
grails-app/views/glAccountType/create.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/GlAccountTypeController.groovy::create (implicit); render(view:'create') in grails-app/controllers/org/pih/warehouse/core/GlAccountTypeController.groovy,finance-config-3
grails-app/views/glAccountType/edit.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/GlAccountTypeController.groovy::edit (implicit); render(view:'edit') in grails-app/controllers/org/pih/warehouse/core/GlAccountTypeController.groovy,finance-config-3
grails-app/views/glAccountType/list.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/core/GlAccountTypeController.groovy::list (implicit); megamenu href /glAccountType/list (runtime.groovy),finance-config-3
grails-app/views/goodsReceiptNote/_body.gsp,TEMPLATE,included by goodsReceiptNote/print.gsp (g:render template='body'),
grails-app/views/goodsReceiptNote/_header.gsp,TEMPLATE,included by goodsReceiptNote/print.gsp (g:render template='header'),
grails-app/views/goodsReceiptNote/_signature.gsp,TEMPLATE,included by goodsReceiptNote/print.gsp (g:render template='signature'),
grails-app/views/goodsReceiptNote/print.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/reporting/GoodsReceiptNoteController.groovy::print (implicit),print-documents-2
grails-app/views/index.gsp,DEAD,no static references found,
grails-app/views/inventory/_actions.gsp,TEMPLATE,included by inventory/browse.gsp (g:render template='./actions'),
grails-app/views/inventory/_browseProduct.gsp,DEAD,no static references found,
grails-app/views/inventory/_browseProductGroup.gsp,DEAD,no static references found,
grails-app/views/inventory/_categoryActions.gsp,DEAD,no static references found,
grails-app/views/inventory/_filters.gsp,TEMPLATE,included by inventory/browse.gsp (g:render template='filters'),
grails-app/views/inventory/_incomingTransfer.gsp,TEMPLATE,included by inventory/createTransaction.gsp (g:render template='incomingTransfer'),
grails-app/views/inventory/_inventoryAdjustment.gsp,TEMPLATE,included by inventory/createTransaction.gsp (g:render template='inventoryAdjustment'),
grails-app/views/inventory/_inventoryConsumed.gsp,TEMPLATE,included by inventory/createTransaction.gsp (g:render template='inventoryConsumed'),
grails-app/views/inventory/_inventoryDamaged.gsp,DEAD,no static references found,
grails-app/views/inventory/_inventoryExpired.gsp,DEAD,no static references found,
grails-app/views/inventory/_outgoingTransfer.gsp,TEMPLATE,included by inventory/createTransaction.gsp (g:render template='outgoingTransfer'),
grails-app/views/inventory/_summary.gsp,TEMPLATE,included by inventory/browse.gsp (g:render template='summary'),
grails-app/views/inventory/browse.gsp,LIVE,controller action grails-app/controllers/org/pih/warehouse/inventory/InventoryController.groovy::browse (implicit); megamenu href /inventory/browse (runtime.groovy); React SPA link in src/js/tests/utils/menu-utils.test.jsx,inventory-1
